Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,6,aide,help
6,7,demande,request
8,9,mois,month
9,10,frère,brother
10,12,car,because
12,14,aucun,no
13,15,laisse,leash
14,17,ville,city
15,18,chaque,each
16,20,devrait,should
19,23,vont,will
22,26,aucune,any
23,27,place,square
24,28,parle,speak
25,29,compris,understood
26,31,étaient,were
27,32,attention,Warning
29,34,pourrais,could
30,35,affaire,case
32,37,type,type
33,40,train,train
36,43,yeux,eyes
37,44,façon,way
38,45,écoute,listen
39,46,dont,whose
41,48,premier,first
43,50,main,hand
45,52,côté,side
46,53,pouvoir,power
47,54,vieux,old
48,55,sois,be
49,56,tiens,here
50,57,matin,morning
51,58,tellement,so much
53,60,point,point
54,61,venu,came
55,62,suite,after
56,64,venez,come
57,65,devant,in front of
58,66,vers,towards
59,67,minutes,minutes
60,68,demandé,request
61,69,chambre,bedroom
62,70,mis,placed
63,72,droit,law
64,73,aimerais,would like to
65,74,aujourd'hui,today
66,75,mari,husband
67,76,cause,cause
68,77,enfin,finally
69,78,espère,hope
70,79,eau,water
71,80,attendez,Wait
72,82,nouvelle,new
73,83,boulot,job
74,84,arrêter,Stop
75,85,dirait,would say
76,86,terre,Earth
77,87,compte,account
78,88,donne,given
79,89,loin,far
80,90,fin,end
81,91,croire,believe
82,92,chérie,sweetheart
83,93,gros,large
84,94,plutôt,rather
85,95,aura,will have
86,96,filles,girls
87,98,bureau,office
